1;2756.36;10.20;1550.29;small
1;2738.02;10.70;1546.38;small
1;2761.55;10.60;1575.13;small
1;2784.79;10.40;1584.90;small
1;2803.87;10.60;1575.94;small
1;2799.05;10.00;1557.70;small
1;2777.52;10.40;1559.74;small
1;2717.38;9.50;1538.17;small
2;2766.82;12.10;1615.61;big
2;2736.30;11.80;1577.94;small
3;2731.44;12.70;1664.47;big
3;2697.04;9.50;1692.94;small
3;2776.83;9.70;1753.59;small
3;2750.95;9.50;1726.10;small
3;2718.41;10.60;1711.83;small
4;2674.46;10.20;1604.42;big
4;2655.94;12.60;1572.58;small
4;2692.45;10.40;1628.25;small
5;2889.43;10.80;1531.47;small
5;2898.91;9.60;1568.06;small
5;2869.26;9.70;1541.43;small
6;2949.43;9.70;1572.40;big
6;2951.11;9.70;1617.28;small
6;2946.68;9.70;1650.75;small
6;2985.31;9.70;1630.87;small
6;2959.87;9.90;1664.41;small
7;2962.92;12.00;1497.47;big
7;2939.68;13.70;1478.50;small
7;2998.36;11.40;1485.78;small
7;2954.11;10.90;1530.59;small
7;2922.68;11.30;1515.05;small
7;2914.09;9.90;1536.18;small
8;3012.56;9.70;1562.97;big
8;2981.40;10.00;1541.87;small
8;2991.17;9.70;1590.08;small
8;3047.39;9.80;1588.86;small
8;3067.30;9.80;1600.63;small
8;3057.72;10.10;1546.97;small
8;3084.62;10.50;1532.93;small
9;3111.48;9.50;1775.59;big
9;3119.57;9.50;1705.30;big
9;3082.16;9.50;1688.80;small
9;3170.64;9.50;1687.29;small
9;3232.12;9.50;1733.63;small
9;3202.46;9.50;1732.79;small
9;3166.33;9.50;1723.74;small
9;3125.90;9.50;1816.50;small
9;3149.21;9.50;1831.71;small
9;3164.46;9.50;1859.29;small
10;3030.61;10.60;1673.17;big
10;3019.58;9.80;1642.95;small
10;3061.83;10.40;1710.60;small
10;3085.75;9.70;1726.57;small
10;3066.67;9.60;1727.10;small
10;3037.83;10.40;1720.61;small
10;3018.18;10.30;1727.94;small
10;2998.67;10.50;1716.06;small
10;3000.48;10.10;1696.81;small
10;3005.89;11.00;1742.73;small
11;2924.40;12.70;1721.59;big
11;2921.88;12.60;1764.09;big
11;2962.47;12.30;1759.26;big
11;2981.34;9.80;1726.34;small
11;2950.49;13.20;1805.48;small
11;2981.58;12.50;1807.94;small
11;2970.01;9.90;1823.38;small
11;3014.52;12.60;1842.72;small
11;2992.06;10.60;1831.60;small
11;2987.82;9.90;1847.10;small
11;2982.71;13.70;1792.58;small
12;3407.18;10.00;1912.83;big
12;3356.50;10.20;1934.96;big
12;3371.62;9.80;1900.26;small
12;3302.38;10.40;1947.48;big
12;3235.96;10.70;1951.26;big
12;3209.23;10.50;1903.50;big
12;3305.67;10.30;1900.84;small
12;3329.50;10.60;1913.43;small
12;3281.06;10.70;1908.03;small
12;3264.74;10.80;1913.18;small
12;3267.63;10.80;1884.82;small
12;3241.52;10.70;1872.75;small
12;3186.97;11.00;1938.72;small
12;3143.68;12.30;1957.84;small
12;3164.96;11.30;1946.64;small
12;3182.52;10.90;1927.65;small
12;3252.11;10.70;1897.30;small
13;3176.88;9.60;1770.76;big
13;3233.24;10.00;1780.33;big
13;3210.14;10.40;1833.43;big
13;3265.25;10.30;1750.52;small
13;3298.23;9.50;1750.51;small
13;3297.12;10.50;1787.84;small
13;3282.72;10.10;1771.09;small
13;3278.26;9.50;1802.22;small
13;3260.57;10.40;1820.55;small
13;3258.24;10.60;1850.64;small
13;3164.80;9.70;1814.31;small
13;3145.64;9.70;1801.54;small
14;3773.24;10.60;1633.91;big
14;3772.31;10.30;1685.17;big
14;3773.75;10.20;1730.79;big
14;3775.99;10.40;1788.45;big
14;3830.48;9.80;1801.56;big
14;3886.17;9.80;1800.73;big
14;3883.11;9.80;1740.09;big
14;3918.29;11.30;1692.45;big
14;3957.34;9.80;1654.59;big
14;3951.12;10.40;1629.10;big
14;3890.04;9.80;1666.86;big
14;3834.05;9.80;1649.62;big
14;3834.22;9.70;1705.75;big
14;3834.53;9.90;1752.76;big
14;3779.08;10.10;1813.67;big
16;2811.12;9.50;1786.50;big
16;2807.03;9.50;1717.37;big
16;2827.58;9.50;1667.35;big
16;2832.59;9.50;1624.88;big
16;2762.84;9.50;1778.42;small
16;2753.10;9.50;1757.04;small
16;2761.82;9.50;1712.46;small
16;2799.33;9.50;1664.77;big
16;2767.64;9.50;1734.23;small
17;3408.82;17.10;865.59;big
17;3378.78;14.90;811.25;big
17;3389.37;14.20;763.56;big
17;3388.35;10.20;694.27;big
17;3383.50;15.20;648.23;big
17;3428.91;10.00;650.25;big
17;3475.49;10.30;700.15;big
17;3515.99;10.60;736.32;big
17;3548.43;11.50;785.26;big
17;3488.29;12.00;776.85;big
17;3443.93;13.20;826.78;big
17;3439.22;14.60;781.24;big
17;3438.01;12.90;719.85;big
17;3422.66;10.80;602.07;small
17;3408.54;11.10;602.62;small
17;3353.48;11.50;712.84;small
17;3343.00;11.20;775.37;small
17;3391.26;11.60;908.67;small
17;3404.77;14.90;917.87;small
17;3485.98;12.90;813.23;small
17;3576.32;11.80;814.33;small
17;3593.81;11.20;824.07;small
17;3585.43;10.80;801.84;small
18;2830.60;9.50;1576.07;small
18;2870.01;9.50;1581.84;small
18;2852.44;9.50;1581.57;small
18;2856.68;9.50;1561.49;small
18;2832.42;9.50;1551.91;small
18;2816.81;9.50;1526.97;small
18;2822.04;9.50;1540.23;small
18;2797.62;9.50;1534.40;small
18;2796.74;9.50;1518.02;small
18;2778.22;9.50;1532.34;small
18;2766.38;9.50;1502.01;small
18;2766.92;9.50;1521.81;small
18;2748.92;9.50;1533.23;small
18;2721.07;9.50;1524.51;small
18;2722.33;9.50;1509.75;small
18;2745.17;9.50;1505.86;small
19;2855.92;9.80;1488.80;big
19;2886.66;10.60;1481.80;big
19;2842.36;9.80;1523.19;small
19;2832.42;10.40;1474.09;small
20;2875.94;13.40;1417.19;big
